
name,x,y,address,laptopFriendly,wifiSpeed,wifiStatus,vibe,openingHours,Description,outletCount,quietness,imageUrl,addressUrl,websiteUrl
Bottom Left Corner Cafe,30,30,1 West Corner,5,Good (30-40 Mbps),Good,4,Mon-Fri 7AM-7PM; Sat-Sun 8AM-6PM,A cozy spot at the bottom left of the map available,Good quality outlets,4,/lovable-uploads/60501b9c-2f45-45ff-969c-58d7127f7121.png,https://www.google.com/maps/search/?api=1&query=1%20West%20Corner%2C%20London,https://example.com/cafe
Top Right Corner Roastery,580,370,99 East Corner,4,Fast (50-100 Mbps),Excellent,5,Mon-Fri 6:30AM-6PM; Sat 8AM-4PM; Sun Closed,Premium coffee at the top right of the map,10 outlets available,2,/lovable-uploads/60501b9c-2f45-45ff-969c-58d7127f7121.png,https://www.google.com/maps/search/?api=1&query=99%20East%20Corner%2C%20London,https://example.com/roastery
Top Left Tea House,30,370,15 North Corner,3,Average (20 Mbps),Reliable,3,Daily 7AM-8PM,Best teas in the northwest corner,4 outlets near seating,5,/lovable-uploads/60501b9c-2f45-45ff-969c-58d7127f7121.png,https://www.google.com/maps/search/?api=1&query=15%20North%20Corner%2C%20London,https://example.com/teahouse
Bottom Right Espresso,580,30,87 South Street,2,Good (35 Mbps),Consistent,4,Mon-Fri 6AM-7PM; Sat-Sun 10AM-4PM,Strong espresso in the southeast corner,8 outlets throughout,3,/lovable-uploads/60501b9c-2f45-45ff-969c-58d7127f7121.png,https://www.google.com/maps/search/?api=1&query=87%20South%20Street%2C%20London,https://example.com/espresso
Center Brew,306,198,50 Central Plaza,5,Fast (70 Mbps),Very good,5,Mon-Sun 8AM-10PM,Located at the exact center of London,12 outlets available,4,/lovable-uploads/60501b9c-2f45-45ff-969c-58d7127f7121.png,https://www.google.com/maps/search/?api=1&query=50%20Central%20Plaza%2C%20London,https://example.com/centerbrew
Cafe Nero,200,120,17 Bedford St,4,Average (25 Mbps),Decent,3,Mon-Fri 7AM-7PM; Sat-Sun 8AM-6PM,A cozy spot with great pastries,5 outlets near windows,2,/lovable-uploads/60501b9c-2f45-45ff-969c-58d7127f7121.png,https://www.google.com/maps/search/?api=1&query=17%20Bedford%20St%2C%20Covent%20Garden%2C%20London,https://cafenero.com
The Coffee Workshop,400,230,32 Fleet St,5,Fast (50-100 Mbps),Excellent,4,Mon-Fri 6:30AM-6PM; Sat 8AM-4PM; Sun Closed,Premium artisanal coffee with plenty of workspace,10 outlets at tables,3,/lovable-uploads/60501b9c-2f45-45ff-969c-58d7127f7121.png,https://www.google.com/maps/search/?api=1&query=32%20Fleet%20St%2C%20City%20of%20London%2C%20London,https://coffeeworkshop.com
Grind Coffee Bar,150,280,79 Baker St,4,Good (40 Mbps),Good,5,Daily 7AM-8PM,Hip coffee shop with specialty brews,7 easily accessible outlets,4,/lovable-uploads/60501b9c-2f45-45ff-969c-58d7127f7121.png,https://www.google.com/maps/search/?api=1&query=79%20Baker%20St%2C%20Marylebone%2C%20London,https://grindcoffee.com
Bean & Bean,500,300,12 Bishopsgate,3,Fast (80 Mbps),Excellent,2,Mon-Fri 6AM-7PM; Sat-Sun Closed,Corporate favorite with great espresso,14 outlets on every table,2,/lovable-uploads/60501b9c-2f45-45ff-969c-58d7127f7121.png,https://www.google.com/maps/search/?api=1&query=12%20Bishopsgate%2C%20City%20of%20London%2C%20London,https://beanandbean.com
The Roastery,350,150,25 Southwark Bridge Rd,5,Average (20 Mbps),Stable,4,Mon-Sun 8AM-6PM,Quiet workspace with in-house roasted beans,3 outlets in quiet corner,5,/lovable-uploads/60501b9c-2f45-45ff-969c-58d7127f7121.png,https://www.google.com/maps/search/?api=1&query=25%20Southwark%20Bridge%20Rd%2C%20Southwark%2C%20London,https://theroastery.com
